order_id,product_name,quantity,unit_price,order_date,customer_id
1001,Notebook A,3,45.00,2026-01-05,C001
1002,Pen Set,10,12.00,2026-01-05,C002
1003,Notebook A,1,45.00,2026-01-06,C001
1004,Marker Box,5,30.00,2026-01-07,C003
1005,Pen Set,2,12.00,2026-01-07,C002
1006,Stapler,1,85.00,2026-01-08,C004
1007,Notebook A,,45.00,2026-01-08,C001
1008,Pen Set,4,12.00,2026-01-09,C005
1009,Marker Box,3,30.00,2026-01-10,C003
1009,Marker Box,3,30.00,2026-01-10,C003
1010,Stapler,-1,85.00,2026-01-11,C004
1011,Notebook A,2,45.00,11/01/2026,C006
1012,Pen Set,6,0,2026-01-12,C002
1013,Marker Box,2,30.00,2026-01-13,
