Invoice_ID,Invoice_Date,City,Store_Format,Category,Brand,Channel,Payment_Mode,Units,Cost_Price,Selling_Price,Revenue,Cost,Margin,Margin_%,Stock_On_Hand,Reorder_Level,Lead_Time_Days,Customer_Age,Customer_Gender,Loyalty_Flag,Low_Stock_Flag
58018430,2024-02-02 13:50:00,Kolkata,Super,Grocery,Nestle,Online,Wallet,2,148.9990350915146,175.05720921867808,350.11441843735616,297.9980701830292,52.116348254326965,0.1488551899317217,154,31,11,20.0,M,1,0
48157952,2024-10-09 11:52:00,Hyderabad,Hyper,Home Care,PepsiCo,Offline,Wallet,1,80.62675927847314,106.03419727023002,106.03419727023002,80.62675927847314,25.40743799175688,0.2396155075046739,130,24,5,26.0,F,1,0
23283831,2024-08-26 22:03:00,Chennai,Hyper,Snacks,PepsiCo,Online,Card,5,181.2331696800856,208.9800228445161,1044.9001142225804,906.165848400428,138.73426582215234,0.1327727540018238,270,44,8,27.0,F,0,0
53537460,2024-06-09 04:34:00,Bengaluru,Hyper,Beverages,Nestle,Omnichannel,Card,2,195.811402466236,260.87996010285286,521.7599202057057,391.622804932472,130.13711527323375,0.2494195323050623,403,63,8,41.0,F,0,0
55348596,2024-06-07 01:13:00,Delhi,Super,Snacks,ITC,Offline,Card,3,23.571888307460554,30.624471918897424,91.87341575669228,70.71566492238166,21.157750834310605,0.2302924154941896,366,40,9,60.0,F,1,0
26584668,2024-11-09 09:19:00,Ahmedabad,Super,Grocery,Tata,Omnichannel,Cash,4,12.599353822809686,13.561234479643566,54.244937918574266,50.39741529123874,3.847522627335522,0.070928694454604,443,56,8,41.0,F,0,0
64724429,2024-02-01 08:53:00,Ahmedabad,Super,Snacks,Nestle,Online,UPI,1,12.224356915368798,13.728703762462189,13.728703762462189,12.224356915368798,1.5043468470933892,0.1095767578004458,108,66,9,61.0,F,1,0
87959927,2024-09-11 12:57:00,Delhi,Super,Beverages,PepsiCo,Offline,Wallet,4,20.903428936800022,23.77608865968385,95.10435463873542,83.6137157472001,11.490638891535312,0.1208213749536895,231,47,6,63.0,F,0,0
17834460,2024-03-14 12:52:00,Bengaluru,Express,Dairy,Britannia,Online,UPI,3,73.96029125310363,84.58690697088295,253.76072091264885,221.8808737593109,31.87984715333795,0.1256295577924049,124,23,13,46.0,M,0,0
17197345,2024-02-04 08:59:00,Mumbai,Hyper,Grocery,Amul,Online,Wallet,4,101.41630141703544,121.60961002450148,486.438440098006,405.6652056681417,80.77323442986426,0.1660502702327356,79,48,5,41.0,F,0,0
61045800,2024-07-11 03:57:00,Ahmedabad,Super,Personal Care,Parle,Omnichannel,Card,4,57.08176282964494,60.01737843977157,240.06951375908628,228.32705131857972,11.742462440506529,0.0489127597112988,488,59,10,19.0,M,1,0
80308054,2024-12-22 02:28:00,Delhi,Hyper,Snacks,HUL,Online,Wallet,3,35.77635816400526,46.29608755044135,138.88826265132406,107.32907449201578,31.55918815930828,0.2272271792940266,342,65,5,41.0,F,1,0
19199824,2024-09-25 13:12:00,Mumbai,Express,Home Care,Amul,Offline,Cash,2,115.21629539681015,149.6990189087828,299.3980378175656,230.4325907936203,68.96544702394527,0.2303470240709075,148,76,3,49.0,O,1,0
94971137,2024-10-04 19:35:00,Mumbai,Hyper,Home Care,ITC,Offline,Wallet,3,142.2212036815942,151.10763914242017,453.3229174272605,426.6636110447826,26.659306382477894,0.0588086446936705,485,30,13,41.0,F,0,0
52916538,2024-09-18 21:06:00,Chennai,Super,Snacks,PepsiCo,Omnichannel,UPI,5,186.32677350884487,262.31750007220285,1311.5875003610142,931.6338675442244,379.9536328167899,0.2896898855106561,127,72,11,18.0,M,0,0
19570318,2024-10-13 21:56:00,Delhi,Express,Dairy,Britannia,Offline,Cash,1,131.86387571481552,139.31415715520222,139.31415715520222,131.86387571481552,7.450281440386703,0.0534782795411578,404,39,5,24.0,F,0,0
50254121,2024-07-06 07:52:00,Pune,Hyper,Vegetables,ITC,Online,Wallet,4,156.497149311441,196.12422765360532,784.4969106144214,625.988597245764,158.50831336865735,0.2020509083260926,69,22,13,41.0,O,0,0
